osan_id,paakohde_tyyppi_id,paatyyppi,alakohde_tyyppi_id,alatyyppi,materiaali_id,materiaali,rakenteellinen_kunnossapito,talvikunnossapito,tkp_kiireellisyys_lk,viher_hoitoluokkka_id,laatutaso_id,yllapidon_taso,yllapidon_taso_selite,puhtaanapito,puhtaanapito_vyohyke,aluetieto,alueen_nimi,alueen_kayttotarkoitus,viheralueen_id,viheralueen_nro,katualueen_id,katualueen_nro,kadunpitopaatos_pvm,osan_nro,osan_pituus,osan_leveys,osan_pinta_ala,paivitetty_pvm,datanomistaja,paivitetty_tietopalveluun,fid,x,y
126242,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Pohj,Kaupunkiympäristö Pohj,,,3,III,Tonttikadut ja vähäliikenteiset klv:t,Kaupunkiympäristö Pohj,3,Katu,Latokartanontori,Tori,,,12382,7792,2011-11-01,51,0,0,0,2015-12-04,Helsinki/YLRE,2022-01-21,3,25501829.0387,6680102.8566
126243,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Pohj,Kaupunkiympäristö Pohj,,,3,III,Tonttikadut ja vähäliikenteiset klv:t,Kaupunkiympäristö Pohj,3,Katu,Latokartanontori,Tori,,,12382,7792,2011-11-01,52,0,0,0,2015-12-04,Helsinki/YLRE,2022-01-21,4,25501836.8838,6680142.7512
127119,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,3,Viher,KOKKAPUISTO,Asemakaavoitettu viheralue,4801,221,,,,54,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,34,25493856.0652,6671119.9783
127120,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,3,Viher,KOKKAPUISTO,Asemakaavoitettu viheralue,4801,221,,,,55,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,35,25493831.1863,6671155.8512
127121,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,3,Viher,KOKKAPUISTO,Asemakaavoitettu viheralue,4801,221,,,,56,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,36,25493801.502,6671193.13
127122,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,3,Viher,KOKKAPUISTO,Asemakaavoitettu viheralue,4801,221,,,,57,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,37,25493851.1505,6671160.2506
130548,32,Kalusteet ja leikkivälineet,383,Jäteastiat,5606,"HKI - H1 roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,TÄHTITORNIN VUORI,Asemakaavoitettu viheralue,16421,722,,,,22,0,0,0,2018-11-16,Helsinki/YLRE,2022-01-21,290,25497267.5322,6672013.0842
130549,32,Kalusteet ja leikkivälineet,383,Jäteastiat,5606,"HKI - H1 roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,TÄHTITORNIN VUORI,Asemakaavoitettu viheralue,16421,722,,,,23,0,0,0,2018-11-16,Helsinki/YLRE,2022-01-21,291,25497247.9212,6672029.9609
130628,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,TÄHTITORNIN VUORI,Asemakaavoitettu viheralue,16421,722,,,,83,0,0,0,2016-03-01,Helsinki/YLRE,2022-01-21,343,25497281.3032,6672071.4953
130642,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,ULLANPUISTIKKO,Leikkipaikka,16381,720,,,,20,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,353,25497370.0436,6672004.5224
130651,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,TÄHTITORNIN VUORI,Asemakaavoitettu viheralue,16421,722,,,,101,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,361,25497330.1993,6672063.2977
130653,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,TÄHTITORNIN VUORI,Asemakaavoitettu viheralue,16421,722,,,,103,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,363,25497252.5976,6672093.4074
130669,32,Kalusteet ja leikkivälineet,383,Jäteastiat,5606,"HKI - H1 roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,TÄHTITORNIN VUORI,Asemakaavoitettu viheralue,16421,722,,,,119,0,0,0,2016-03-01,Helsinki/YLRE,2022-01-21,377,25497401.431,6672059.949
130696,32,Kalusteet ja leikkivälineet,383,Jäteastiat,5606,"HKI - H1 roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,TÄHTITORNIN VUORI,Asemakaavoitettu viheralue,16421,722,,,,132,0,0,0,2018-11-16,Helsinki/YLRE,2022-01-21,382,25497361.8369,6672153.2444
130698,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,TÄHTITORNIN VUORI,Asemakaavoitettu viheralue,16421,722,,,,134,0,0,0,2016-02-29,Helsinki/YLRE,2022-01-21,384,25497370.5203,6672173.2298
130699,32,Kalusteet ja leikkivälineet,383,Jäteastiat,5606,"HKI - H1 roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,TÄHTITORNIN VUORI,Asemakaavoitettu viheralue,16421,722,,,,135,0,0,0,2018-11-16,Helsinki/YLRE,2022-01-21,385,25497424.8465,6672181.836
130706,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1645,"HKR - roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,TÄHTITORNIN VUORI,Asemakaavoitettu viheralue,16421,722,,,,142,0,0,0,2016-02-29,Helsinki/YLRE,2022-01-21,392,25497471.7463,6672155.9672
130711,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,TÄHTITORNIN VUORI,Asemakaavoitettu viheralue,16421,722,,,,147,0,0,0,2016-02-29,Helsinki/YLRE,2022-01-21,395,25497368.5953,6672194.5944
130731,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,TÄHTITORNIN VUORI,Asemakaavoitettu viheralue,16421,722,,,,167,0,0,0,2016-03-01,Helsinki/YLRE,2022-01-21,413,25497370.4196,6672101.4031
130739,32,Kalusteet ja leikkivälineet,383,Jäteastiat,2318,"Syväkeräyssäiliö, 1300 litraa, molok city-kita",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,TÄHTITORNIN VUORI,Asemakaavoitettu viheralue,16421,722,,,,175,0,0,0,2012-11-22,Helsinki/YLRE,2022-01-21,418,25497392.0322,6672291.5108
130742,32,Kalusteet ja leikkivälineet,383,Jäteastiat,5604,"HKI - H1 roska-astia, 60 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,TÄHTITORNIN VUORI,Asemakaavoitettu viheralue,16421,722,,,,178,0,0,0,2020-04-17,Helsinki/YLRE,2022-01-21,421,25497439.3947,6672261.3007
130744,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,TÄHTITORNIN VUORI,Asemakaavoitettu viheralue,16441,723,,,,21,0,0,0,2016-03-01,Helsinki/YLRE,2022-01-21,423,25497366.9901,6672243.1746
130759,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,TÄHTITORNIN VUORI,Asemakaavoitettu viheralue,16421,722,,,,192,0,0,0,2016-02-29,Helsinki/YLRE,2022-01-21,434,25497396.8351,6672257.8653
130937,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1643,"HKR - roska-astia, 30 litraa",Kaupunkiympäristö Länsi,Kaupunkiympäristö Länsi,,,1,I,Pääkadut ja erittäin vilkkaat klv:t,Kaupunkiympäristö Länsi,1,Katu,Tehtaankatu,Asuntokatu,,,5761,797,1932-01-01,39,0,0,0,2015-12-04,Helsinki/YLRE,2022-01-21,513,25497196.0778,6671734.5756
130938,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1643,"HKR - roska-astia, 30 litraa",Kaupunkiympäristö Länsi,Kaupunkiympäristö Länsi,,,1,I,Pääkadut ja erittäin vilkkaat klv:t,Kaupunkiympäristö Länsi,1,Katu,Tehtaankatu,Asuntokatu,,,5761,797,1932-01-01,40,0,0,0,2015-12-04,Helsinki/YLRE,2022-01-21,514,25497491.026,6671853.8545
130939,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1643,"HKR - roska-astia, 30 litraa",Kaupunkiympäristö Länsi,Kaupunkiympäristö Länsi,,,1,I,Pääkadut ja erittäin vilkkaat klv:t,Kaupunkiympäristö Länsi,1,Katu,Tehtaankatu,Asuntokatu,,,5761,797,1932-01-01,41,0,0,0,2015-12-04,Helsinki/YLRE,2022-01-21,515,25497498.4302,6671846.7044
130944,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1643,"HKR - roska-astia, 30 litraa",HKL,HKL,,,2,II,Kokoojakadut ja vilkasliikenteiset klv:t,HKL,2,Katu,Tehtaankatu,Asuntokatu,,,5761,797,1932-01-01,46,0,0,0,2016-09-26,Helsinki/YLRE,2022-01-21,520,25496952.0682,6671705.7706
130975,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1643,"HKR - roska-astia, 30 litraa",Kaupunkiympäristö Länsi,Kaupunkiympäristö Länsi,,,1,I,Pääkadut ja erittäin vilkkaat klv:t,Kaupunkiympäristö Länsi,1,Katu,Eteläranta,Kokoojakatu alueellinen,,,552,451,2004-10-01,68,0,0,0,2015-12-04,Helsinki/YLRE,2022-01-21,545,25497364.612,6672471.0165
130976,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1643,"HKR - roska-astia, 30 litraa",Kaupunkiympäristö Länsi,Kaupunkiympäristö Länsi,,,1,I,Pääkadut ja erittäin vilkkaat klv:t,Kaupunkiympäristö Länsi,1,Katu,Eteläranta,Kokoojakatu alueellinen,,,552,451,2004-10-01,69,0,0,0,2015-12-04,Helsinki/YLRE,2022-01-21,546,25497372.5967,6672471.8431
131027,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1643,"HKR - roska-astia, 30 litraa",Kaupunkiympäristö Länsi,Kaupunkiympäristö Länsi,,,1,I,Pääkadut ja erittäin vilkkaat klv:t,Kaupunkiympäristö Länsi,1,Katu,Laivasillankatu,Kokoojakatu alueellinen,,,5611,4607,1932-01-01,42,0,0,0,2015-12-04,Helsinki/YLRE,2022-01-21,575,25497585.059,6672070.1507
131028,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1643,"HKR - roska-astia, 30 litraa",Kaupunkiympäristö Länsi,Kaupunkiympäristö Länsi,,,1,I,Pääkadut ja erittäin vilkkaat klv:t,Kaupunkiympäristö Länsi,1,Katu,Laivasillankatu,Kokoojakatu alueellinen,,,5611,4607,1932-01-01,43,0,0,0,2015-12-04,Helsinki/YLRE,2022-01-21,576,25497573.6561,6672074.9964
131061,32,Kalusteet ja leikkivälineet,383,Jäteastiat,5606,"HKI - H1 roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,21,0,0,0,2021-03-16,Helsinki/YLRE,2022-01-21,597,25497471.4868,6671295.6467
131066,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1645,"HKR - roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,26,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,602,25497513.1051,6671296.7206
131075,32,Kalusteet ja leikkivälineet,383,Jäteastiat,2318,"Syväkeräyssäiliö, 1300 litraa, molok city-kita",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,35,0,0,0,2013-03-14,Helsinki/YLRE,2022-01-21,611,25497479.4353,6671439.7507
131078,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1777,"Syväkeräyssäiliö, 500 litraa, molok city-kita",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,38,0,0,0,2013-03-14,Helsinki/YLRE,2022-01-21,614,25497551.8905,6671521.7694
131083,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1645,"HKR - roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,43,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,616,25497700.6375,6671375.651
131084,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1645,"HKR - roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,44,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,617,25497641.7191,6671388.9317
131086,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1777,"Syväkeräyssäiliö, 500 litraa, molok city-kita",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,46,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,619,25497637.2212,6671439.4617
131090,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1645,"HKR - roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,50,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,623,25497535.5837,6671453.0337
131097,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1645,"HKR - roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,57,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,624,25497533.9673,6671325.8695
131099,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1645,"HKR - roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,59,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,625,25497606.1954,6671328.9473
131100,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1645,"HKR - roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,60,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,626,25497635.6678,6671361.9073
131101,32,Kalusteet ja leikkivälineet,383,Jäteastiat,5606,"HKI - H1 roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,61,0,0,0,2016-02-10,Helsinki/YLRE,2022-01-21,627,25497680.0745,6671325.0048
131102,32,Kalusteet ja leikkivälineet,383,Jäteastiat,5606,"HKI - H1 roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,62,0,0,0,2016-02-10,Helsinki/YLRE,2022-01-21,628,25497618.5111,6671251.3221
131103,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1645,"HKR - roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,63,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,629,25497603.3847,6671302.9693
131124,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1777,"Syväkeräyssäiliö, 500 litraa, molok city-kita",Kaupunkiympäristö Länsi,Kaupunkiympäristö Länsi,,,3,III,Tonttikadut ja vähäliikenteiset klv:t,Kaupunkiympäristö Länsi,1,Katu,Iso Puistotie,Kevyt liikenne,,,565,462,1932-01-01,20,0,0,0,2016-02-08,Helsinki/YLRE,2022-01-21,644,25497614.6907,6671592.1857
131131,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1777,"Syväkeräyssäiliö, 500 litraa, molok city-kita",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,Merisatamanrannanpuisto,Asemakaavoitettu viheralue,16081,705,,,,22,0,0,0,2012-11-22,Helsinki/YLRE,2022-01-21,649,25497243.0421,6671377.9476
131144,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1777,"Syväkeräyssäiliö, 500 litraa, molok city-kita",Kaupunkiympäristö Länsi,Kaupunkiympäristö Länsi,,,1,I,Pääkadut ja erittäin vilkkaat klv:t,Kaupunkiympäristö Länsi,1,Katu,Kaivopuistonranta,"Kevyt liikenne, t/h",,,13077,8012,,53,0,0,0,2016-02-12,Helsinki/YLRE,2022-01-21,659,25497334.3911,6671339.0002
131152,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1777,"Syväkeräyssäiliö, 500 litraa, molok city-kita",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,41,,A3,Käyttö- ja suojaviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTONRANTA,Asemakaavoitettu viheralue,10021,432,,,,24,0,0,0,2012-11-22,Helsinki/YLRE,2022-01-21,666,25497274.9429,6671378.117
131227,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1645,"HKR - roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,81,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,737,25497468.3349,6671377.0739
131238,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1645,"HKR - roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,92,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,746,25497287.1418,6671432.546
131250,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1645,"HKR - roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Kaupunkiympäristö Länsi,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,104,0,0,0,2021-03-17,Helsinki/YLRE,2022-01-21,754,25497319.053,6671502.9282
131254,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1643,"HKR - roska-astia, 30 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,108,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,757,25497357.0451,6671398.1927
131255,32,Kalusteet ja leikkivälineet,383,Jäteastiat,5606,"HKI - H1 roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,109,0,0,0,2016-03-01,Helsinki/YLRE,2022-01-21,758,25497444.3852,6671504.4763
131280,32,Kalusteet ja leikkivälineet,383,Jäteastiat,5606,"HKI - H1 roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,134,0,0,0,2016-02-18,Helsinki/YLRE,2022-01-21,775,25497497.8632,6671650.0307
131292,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1645,"HKR - roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,146,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,784,25497333.9436,6671378.1247
131311,32,Kalusteet ja leikkivälineet,383,Jäteastiat,5606,"HKI - H1 roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,165,0,0,0,2018-08-09,Helsinki/YLRE,2022-01-21,800,25497502.7424,6671711.1886
131315,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1645,"HKR - roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,169,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,803,25497405.2232,6671615.6608
131317,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1644,"HKR - roska-astia, 60 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Leikkipaikka,203981,9181,,,,5,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,805,25497368.1694,6671521.5696
131321,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1645,"HKR - roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,175,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,808,25497442.0836,6671324.2063
131325,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1777,"Syväkeräyssäiliö, 500 litraa, molok city-kita",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,179,0,0,0,2013-03-14,Helsinki/YLRE,2022-01-21,811,25497518.14,6671577.8642
131336,32,Kalusteet ja leikkivälineet,383,Jäteastiat,5606,"HKI - H1 roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,190,0,0,0,2016-02-15,Helsinki/YLRE,2022-01-21,821,25497377.1202,6671504.7893
131338,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1645,"HKR - roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,192,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,823,25497321.6466,6671421.6872
131339,32,Kalusteet ja leikkivälineet,383,Jäteastiat,1645,"HKR - roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,193,0,0,0,2008-03-04,Helsinki/YLRE,2022-01-21,824,25497578.0601,6671588.5725
131359,32,Kalusteet ja leikkivälineet,383,Jäteastiat,5606,"HKI - H1 roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Asemakaavoitettu viheralue,10061,434,,,,213,0,0,0,2016-03-01,Helsinki/YLRE,2022-01-21,839,25497308.2116,6671464.7404
131367,32,Kalusteet ja leikkivälineet,383,Jäteastiat,5606,"HKI - H1 roska-astia, 140 litraa",Kaupunkiympäristö Länsi,Ei talvikunnossapitoa,,21,,A2,Käyttöviheralue,Ei toimenpiteitä,1,Viher,KAIVOPUISTO,Leikkipaikka,10101,436,,,,25,0,0,0,2016-02-15,Helsinki/YLRE,2022-01-21,847,25497455.6701,6671454.7533
